image,coordinate1,coordinate2
aug_2_1708123264927.jpg,"(36, 99)","(99, 164)"
aug_2_1708123191057.jpg,"(28, 154)","(38, 167)"
aug_2_1708123191057.jpg,"(237, 193)","(228, 180)"
aug_2_1708123193132.jpg,"(109, 117)","(119, 124)"
aug_2_1708123193132.jpg,"(109, 115)","(120, 126)"
aug_2_1708123298961.jpg,"(2, 62)","(2, 62)"
aug_2_1708123298961.jpg,"(2, 62)","(48, 107)"
aug_3_1708123298967.jpg,"(225, 97)","(263, 8)"
aug_3_1708123298967.jpg,"(207, 16)","(277, 90)"
1708123298959.jpg,"(209, 90)","(275, 152)"
aug_0_1708123206327.jpg,"(262, 85)","(282, 108)"
aug_2_1708123298949.jpg,"(87, 103)","(118, 143)"
aug_1_1708123167767.jpg,"(180, 115)","(201, 131)"
1708123169924.jpg,"(164, 104)","(191, 131)"
aug_2_1708123205659.jpg,"(162, 119)","(172, 130)"
aug_2_1708123207728.jpg,"(113, 93)","(131, 112)"
aug_3_1708123207048.jpg,"(253, 104)","(268, 116)"
aug_3_1708123207048.jpg,"(253, 103)","(268, 117)"
aug_1_1708123298938.jpg,"(81, 114)","(136, 163)"
aug_1_1708123191740.jpg,"(172, 108)","(191, 124)"
aug_0_1708123166523.jpg,"(50, 176)","(67, 145)"
aug_0_1708123166523.jpg,"(43, 148)","(74, 172)"
aug_1_1708123171059.jpg,"(81, 86)","(96, 100)"
aug_2_1708123332156.jpg,"(156, 51)","(263, 186)"
1708123339749.jpg,"(89, 72)","(170, 207)"
aug_3_1708123339777.jpg,"(191, 39)","(246, 113)"
aug_3_1708123339777.jpg,"(193, 40)","(244, 115)"
aug_2_1708123339771.jpg,"(187, 91)","(112, 221)"
aug_2_1708123339771.jpg,"(186, 91)","(113, 224)"
aug_2_1708123193720.jpg,"(137, 112)","(145, 122)"
1708123167699.jpg,"(149, 112)","(172, 137)"
aug_3_1708123332144.jpg,"(66, 201)","(236, 65)"
1708123332152.jpg,"(177, 66)","(271, 236)"
1708123332152.jpg,"(161, 234)","(296, 80)"
1708123274107.jpg,"(196, 81)","(259, 173)"
aug_3_1708123332178.jpg,"(197, 94)","(234, 123)"
aug_3_1708123332178.jpg,"(196, 87)","(234, 123)"
1708123332146.jpg,"(168, 71)","(275, 224)"
aug_3_1708123291638.jpg,"(204, 73)","(261, 191)"
aug_3_1708123291638.jpg,"(178, 185)","(285, 90)"
aug_3_1708123291638.jpg,"(181, 178)","(283, 86)"
aug_2_1708123193091.jpg,"(78, 154)","(88, 166)"
1708123206208.jpg,"(7, 119)","(23, 140)"
