image,coordinate1,coordinate2
1708123166407.jpg,"(276, 154)","(290, 178)"
1708123166606.jpg,"(255, 101)","(289, 133)"
1708123166770.jpg,"(246, 105)","(275, 137)"
1708123166831.jpg,"(141, 141)","(155, 156)"
1708123166991.jpg,"(16, 75)","(34, 93)"
1708123167052.jpg,"(120, 118)","(135, 139)"
1708123167323.jpg,"(243, 109)","(267, 137)"
1708123167491.jpg,"(254, 72)","(297, 117)"
1708123167534.jpg,"(52, 116)","(62, 128)"
1708123167552.jpg,"(131, 113)","(145, 129)"
1708123167585.jpg,"(54, 122)","(64, 134)"
1708123167871.jpg,"(97, 134)","(109, 151)"
1708123167929.jpg,"(169, 74)","(184, 98)"
1708123168167.jpg,"(197, 78)","(221, 118)"
1708123168361.jpg,"(89, 82)","(115, 119)"
1708123168951.jpg,"(252, 102)","(278, 135)"
1708123169135.jpg,"(167, 73)","(201, 120)"
1708123169864.jpg,"(130, 130)","(148, 156)"
1708123169877.jpg,"(225, 113)","(255, 143)"
1708123169889.jpg,"(201, 128)","(216, 146)"
1708123169898.jpg,"(254, 125)","(279, 151)"
1708123170063.jpg,"(144, 109)","(163, 132)"
1708123170248.jpg,"(224, 107)","(247, 136)"
1708123170271.jpg,"(259, 163)","(270, 177)"
1708123170312.jpg,"(237, 147)","(256, 164)"
1708123170934.jpg,"(204, 98)","(214, 110)"
1708123171630.jpg,"(161, 124)","(171, 136)"
1708123171803.jpg,"(230, 126)","(238, 136)"
1708123172163.jpg,"(206, 100)","(213, 109)"
1708123172270.jpg,"(244, 115)","(253, 126)"
1708123172460.jpg,"(153, 155)","(159, 164)"
1708123190768.jpg,"(236, 52)","(255, 79)"
1708123190784.jpg,"(182, 86)","(198, 110)"
1708123190792.jpg,"(165, 90)","(179, 105)"
1708123190796.jpg,"(252, 130)","(271, 150)"
1708123190802.jpg,"(235, 115)","(255, 129)"
1708123190964.jpg,"(256, 127)","(267, 141)"
1708123190973.jpg,"(239, 103)","(252, 125)"
1708123191048.jpg,"(220, 131)","(235, 150)"
1708123191076.jpg,"(96, 126)","(113, 153)"
1708123191100.jpg,"(169, 73)","(218, 134)"
1708123191117.jpg,"(56, 89)","(78, 120)"
1708123191128.jpg,"(221, 106)","(238, 119)"
1708123191248.jpg,"(39, 110)","(59, 131)"
1708123191311.jpg,"(275, 151)","(285, 163)"
1708123191328.jpg,"(60, 139)","(75, 158)"
1708123191460.jpg,"(256, 156)","(269, 172)"
1708123191465.jpg,"(122, 111)","(137, 129)"
1708123191473.jpg,"(269, 149)","(280, 163)"
1708123191498.jpg,"(195, 102)","(216, 130)"
1708123191649.jpg,"(192, 93)","(221, 133)"
1708123191857.jpg,"(80, 126)","(107, 159)"
1708123191885.jpg,"(239, 81)","(275, 123)"
1708123191930.jpg,"(50, 111)","(67, 129)"
1708123192021.jpg,"(234, 110)","(250, 128)"
1708123192024.jpg,"(48, 91)","(69, 112)"
1708123192031.jpg,"(267, 81)","(286, 104)"
1708123192141.jpg,"(211, 85)","(245, 131)"
1708123192578.jpg,"(240, 129)","(253, 149)"
1708123192619.jpg,"(255, 149)","(274, 166)"
1708123192797.jpg,"(266, 127)","(278, 142)"
1708123192967.jpg,"(230, 123)","(241, 138)"
1708123193463.jpg,"(181, 141)","(191, 152)"
1708123193505.jpg,"(161, 139)","(170, 150)"
1708123193852.jpg,"(212, 135)","(221, 146)"
1708123193892.jpg,"(201, 132)","(209, 144)"
1708123193931.jpg,"(205, 117)","(216, 132)"
1708123205537.jpg,"(222, 131)","(236, 146)"
1708123205642.jpg,"(279, 131)","(290, 143)"
1708123205916.jpg,"(27, 77)","(77, 129)"
1708123206170.jpg,"(11, 116)","(30, 141)"
1708123206617.jpg,"(231, 121)","(245, 140)"
1708123206699.jpg,"(266, 151)","(279, 165)"
1708123206773.jpg,"(228, 128)","(244, 148)"
1708123206980.jpg,"(222, 121)","(234, 135)"
1708123207118.jpg,"(221, 130)","(236, 150)"
1708123207243.jpg,"(198, 90)","(210, 107)"
1708123207253.jpg,"(88, 118)","(102, 132)"
1708123207294.jpg,"(146, 94)","(162, 113)"
1708123207333.jpg,"(108, 95)","(123, 115)"
1708123207455.jpg,"(97, 112)","(117, 132)"
1708123207491.jpg,"(219, 86)","(248, 125)"
