image,coordinate1,coordinate2
1708123166523.jpg,"(225, 132)","(249, 159)"
1708123166651.jpg,"(232, 153)","(245, 168)"
1708123166692.jpg,"(219, 175)","(230, 190)"
1708123166849.jpg,"(263, 159)","(276, 175)"
1708123166871.jpg,"(220, 103)","(243, 134)"
1708123166938.jpg,"(247, 43)","(275, 120)"
1708123167211.jpg,"(276, 131)","(291, 149)"
1708123167373.jpg,"(186, 64)","(235, 122)"
1708123167429.jpg,"(188, 46)","(226, 103)"
1708123167748.jpg,"(75, 113)","(97, 138)"
1708123167767.jpg,"(74, 116)","(93, 140)"
1708123167819.jpg,"(43, 92)","(73, 137)"
1708123168085.jpg,"(60, 88)","(84, 123)"
1708123168257.jpg,"(207, 79)","(245, 125)"
1708123168481.jpg,"(264, 114)","(280, 139)"
1708123168724.jpg,"(261, 142)","(279, 163)"
1708123169298.jpg,"(207, 102)","(237, 140)"
1708123169348.jpg,"(55, 122)","(74, 144)"
1708123169377.jpg,"(240, 119)","(256, 136)"
1708123169412.jpg,"(157, 123)","(185, 153)"
1708123169501.jpg,"(136, 104)","(159, 134)"
1708123169809.jpg,"(97, 143)","(109, 161)"
1708123169834.jpg,"(228, 130)","(242, 147)"
1708123169954.jpg,"(38, 84)","(61, 116)"
1708123169981.jpg,"(216, 93)","(234, 119)"
1708123170033.jpg,"(46, 121)","(66, 146)"
1708123170145.jpg,"(174, 122)","(202, 154)"
1708123170218.jpg,"(22, 86)","(42, 111)"
1708123170435.jpg,"(218, 140)","(231, 156)"
1708123170784.jpg,"(196, 114)","(207, 128)"
1708123171059.jpg,"(218, 92)","(233, 106)"
1708123171471.jpg,"(120, 117)","(130, 130)"
1708123171675.jpg,"(214, 88)","(228, 102)"
1708123171715.jpg,"(190, 131)","(202, 144)"
1708123171846.jpg,"(189, 128)","(196, 138)"
1708123172020.jpg,"(175, 133)","(185, 146)"
1708123172594.jpg,"(181, 98)","(194, 115)"
1708123190843.jpg,"(218, 114)","(236, 136)"
1708123190855.jpg,"(244, 157)","(260, 177)"
1708123190925.jpg,"(267, 150)","(277, 161)"
1708123191023.jpg,"(35, 141)","(48, 161)"
1708123191145.jpg,"(266, 91)","(287, 108)"
1708123191155.jpg,"(97, 116)","(110, 132)"
1708123191224.jpg,"(226, 75)","(255, 116)"
1708123191341.jpg,"(216, 116)","(238, 143)"
1708123191347.jpg,"(56, 129)","(74, 151)"
1708123191354.jpg,"(39, 126)","(58, 148)"
1708123191379.jpg,"(61, 127)","(78, 150)"
1708123191384.jpg,"(223, 95)","(250, 130)"
1708123191390.jpg,"(58, 96)","(88, 136)"
1708123191427.jpg,"(30, 93)","(63, 133)"
1708123191537.jpg,"(20, 89)","(54, 130)"
1708123191597.jpg,"(97, 89)","(135, 139)"
1708123191740.jpg,"(113, 123)","(130, 146)"
1708123192058.jpg,"(23, 128)","(35, 143)"
1708123192065.jpg,"(146, 121)","(165, 145)"
1708123192103.jpg,"(266, 117)","(283, 139)"
1708123192113.jpg,"(98, 115)","(114, 133)"
1708123192661.jpg,"(223, 145)","(239, 164)"
1708123192705.jpg,"(247, 110)","(269, 141)"
1708123192841.jpg,"(184, 163)","(192, 174)"
1708123192882.jpg,"(243, 132)","(262, 150)"
1708123192924.jpg,"(161, 156)","(169, 168)"
1708123193419.jpg,"(237, 129)","(244, 139)"
1708123193547.jpg,"(227, 126)","(245, 148)"
1708123193591.jpg,"(203, 102)","(214, 115)"
1708123193636.jpg,"(114, 123)","(121, 132)"
1708123193811.jpg,"(251, 118)","(267, 135)"
